,flooding_source,surveyor_xs,hec-ras_xs
0,MAD,MAD_010,_
1,MAD,MAD_020,_
2,MAD,MAD_030,_
3,MAD,MAD_040&MAD_050,_
4,MAD,MAD_060,_
5,MAD,MAD_070,_
6,MAD,MAD_080,28088
7,MAD,MAD_090,_
8,MAD,MAD_100,138585
9,MAD,MAD_110,190317
10,MAD,MAD_120,207947
11,MAD,MAD_130,227071
12,MAD,MAD_140,232760
13,MAD,MAD_150,267302
14,MAD,MAD_160,276045
15,MAD,MAD_1_010,_
16,MAD,MAD_1_020,_
17,MAD,MAD_2_010,_
18,MAD,MAD_2_020,_
19,MAD,MAD_2_030,_
20,MAD,MAD_2_040,_
21,MAD,MAD_3_010,_
22,MAD,MAD_3_020,_
23,MAD,MAD_3_030,_
24,MAD,MAD_3_040,_
25,MAD,MAD_4_010,28088
26,MAD,MAD_5_010,28088
27,MAD,MAD_6_010,28088
